case_id,component_index,label,overlap_voxels,overlap_fraction,component_dice,component_voxels,bbox_d,bbox_h,bbox_w,bbox_volume,fill_ratio,centroid_d_norm,centroid_h_norm,centroid_w_norm,center_d_norm,center_h_norm,center_w_norm,mean_prob,max_prob,p75_prob,p90_prob,std_prob,sum_prob,mean_intensity,std_intensity,min_intensity,max_intensity,local_contrast,local_abs_contrast,edge_distance_mean,edge_distance_min,edge_distance_max
0001,1,1,1882,0.6740687679083095,0.7616349656009712,2792,23,47,18,19458,0.14348853941823414,0.29724141805719423,0.4334049665711557,0.4609289847744255,0.3215686274509804,0.5215686274509804,0.47058823529411764,0.8081910610198975,0.9999998807907104,0.9999610185623169,0.9999948740005493,0.28680655360221863,2256.469482421875,0.05906020477414131,0.3843182623386383,-0.7459790110588074,1.2032253742218018,-0.34597770497202873,0.34597770497202873,178.92266845703125,161.85487365722656,200.58912658691406
0001,2,0,0,0.0,0.0,6,2,2,2,8,0.75,0.32679738562091504,0.48104575163398694,0.44509803921568625,0.3254901960784314,0.4823529411764706,0.44313725490196076,0.17872780561447144,0.24368584156036377,0.2107892632484436,0.23096120357513428,0.044816963374614716,1.0723668336868286,0.0017888756701722741,0.07339449971914291,-0.0943426638841629,0.09026874601840973,-0.38206047692801803,0.38206047692801803,187.1947479248047,186.3035125732422,188.01596069335938
0001,3,0,0,0.0,0.0,3,2,2,1,4,0.75,0.48366013071895425,0.3320261437908497,0.5764705882352941,0.48627450980392156,0.3333333333333333,0.5764705882352941,0.1437007039785385,0.1847868412733078,0.1583821177482605,0.17422494292259216,0.02993149496614933,0.43110209703445435,0.8475894927978516,0.10155884921550751,0.759155809879303,0.9898160696029663,-0.14080053567886353,0.14080053567886353,210.3247528076172,209.85948181152344,210.85302734375
0001,4,0,0,0.0,0.0,9,4,2,3,24,0.375,0.5115468409586057,0.3320261437908497,0.5812636165577342,0.5098039215686274,0.3333333333333333,0.5803921568627451,0.14736407995224,0.21571551263332367,0.1580585241317749,0.18942157924175262,0.032192256301641464,1.3262766599655151,0.7636539936065674,0.2950434386730194,0.3381800949573517,1.116693139076233,-0.21394646167755127,0.21394646167755127,215.44569396972656,213.85508728027344,216.4486083984375
0001,5,1,111,0.6727272727272727,0.0958963282937365,165,9,7,8,504,0.3273809523809524,0.6460606060606061,0.549281045751634,0.5696256684491978,0.6392156862745098,0.5450980392156862,0.5647058823529412,0.7831303477287292,0.9999997615814209,0.9999323487281799,0.9999962449073792,0.29755398631095886,129.2165069580078,0.04974799230694771,0.3165016174316406,-0.5498204231262207,0.805343508720398,-0.3115947060286999,0.3115947060286999,261.13836669921875,256.47027587890625,266.4244689941406
0004,1,0,0,0.0,0.0,2,1,1,2,2,1.0,0.3411764705882353,0.611764705882353,0.4137254901960784,0.3411764705882353,0.611764705882353,0.4117647058823529,0.13273563981056213,0.13528203964233398,0.13400883972644806,0.13477276265621185,0.0025463923811912537,0.26547127962112427,0.8887420892715454,0.115510493516922,0.773231565952301,1.004252552986145,-0.4055976867675781,0.4055976867675781,207.87120056152344,207.617431640625,208.12496948242188
0004,2,1,437,0.7059773828756059,0.6019283746556474,619,13,16,9,1872,0.33066239316239315,0.3865310906268808,0.6095283347587823,0.4097437359434889,0.3843137254901961,0.6196078431372549,0.403921568627451,0.7844600081443787,0.9999998807907104,0.9999498128890991,0.9999964237213135,0.3037644922733307,485.58074951171875,0.5433158874511719,0.38195380568504333,-0.27092722058296204,1.6723817586898804,-0.7592647075653076,0.7592647075653076,212.14186096191406,206.01455688476562,217.61892700195312
0004,3,1,359,0.6342756183745583,0.5132237312365976,566,12,14,10,1680,0.33690476190476193,0.41639991685720223,0.67123259197672,0.45461096099217074,0.4117647058823529,0.6705882352941176,0.4588235294117647,0.772646963596344,1.0,0.9999779462814331,0.9999994039535522,0.3066934049129486,437.31817626953125,0.5096902251243591,0.4874689280986786,-0.5977792143821716,1.678804636001587,-0.41387730836868286,0.41387730836868286,232.88345336914062,224.414794921875,239.278076171875
0004,4,0,0,0.0,0.0,2,2,1,1,2,1.0,0.40980392156862744,0.596078431372549,0.4,0.40784313725490196,0.596078431372549,0.4,0.15388347208499908,0.17547093331813812,0.1646772027015686,0.17115344107151031,0.021587461233139038,0.30776694416999817,0.9201339483261108,0.1431678831577301,0.7769660353660583,1.0633018016815186,-0.6306036710739136,0.6306036710739136,211.27810668945312,211.02842712402344,211.52777099609375
0004,5,0,0,0.0,0.0,10,2,3,2,12,0.8333333333333334,0.492156862745098,0.42274509803921567,0.5552941176470588,0.49411764705882355,0.4235294117647059,0.5568627450980392,0.41962724924087524,0.7449086904525757,0.5427777767181396,0.7442943453788757,0.1995573788881302,4.196272373199463,1.6551796197891235,0.08875018358230591,1.514765977859497,1.810835838317871,-0.2277841567993164,0.2277841567993164,218.34445190429688,217.26942443847656,219.4857635498047
